bruce_id,timestamp,transaction_id,merchant_id,hit_rules,rules_decision,override,engine_decision,final_decision,is_fraud_x,is_fraud_y,learning_label,B_listed,W_listed,rel_rules,h2o_score,bayesia_score,ml_label,sherlock_decision
27101424,2016-12-13 08:40:17,1ee100af-de2c-4209-840b-d12ffab2b6e7,M098322,SC0001215,deny,0,deny,None,0,5,2,0,0,1,28.73,912.06,0,accept
27102732,2016-12-13 08:47:26,19c94871-9824-408b-802e-10474be57eaf,M098322,,,,accept,deny,0,5,2,0,0,0,827.0,528.11,0,accept
27112395,2016-12-13 09:42:12,c1309871-c1bd-412f-84da-86c9d5bd27d5,M098322,,,,accept,settlement,0,0,0,0,0,0,17.3,1.14,0,accept
27118335,2016-12-13 10:14:37,c87d6b45-961b-45d2-93e6-3b20321e1fdf,M098322,,,,accept,deny,0,5,2,0,0,0,2.41,0.05,0,accept
27118830,2016-12-13 10:17:57,bd97c8c1-434d-4000-a331-c6b3b478b1ab,M098322,,,,accept,deny,0,5,2,0,0,0,55.89,557.43,0,accept
27119673,2016-12-13 10:23:02,213d66b4-5cd7-4301-bc37-bb4beb9be375,M098322,,,,deny,None,0,2,1,1,0,0,914.96,36.18,0,deny
27121704,2016-12-13 10:34:49,e9e39c0f-4fce-4d5d-a655-c489c2cda777,M098322,,,,accept,settlement,0,0,0,0,0,0,0.93,0.26,0,accept
27127107,2016-12-13 11:06:50,8ef2d8c6-927d-428f-9010-63490b460c25,M098322,,,,accept,settlement,0,0,0,0,0,0,0.57,0.0,0,accept
27127746,2016-12-13 11:10:49,e1901b10-df13-40c8-b03d-1fead91a564a,M098322,,,,accept,settlement,0,0,0,0,0,0,5.49,0.11,0,accept
27131274,2016-12-13 11:33:39,a2b21163-6978-4133-ac3f-7a8f9276a1de,M098322,,,,accept,deny,0,5,2,0,0,0,31.9,0.17,0,accept
27133497,2016-12-13 11:47:37,b2eedcd1-bbcf-4a93-a941-84c09a80a180,M098322,,,,accept,settlement,0,0,0,0,0,0,0.38,0.0,0,accept
27134196,2016-12-13 11:51:52,35e810bf-a5c4-40df-9c0a-aab3846dfc0e,M098322,,,,accept,deny,0,5,2,0,0,0,43.46,210.09,0,accept
27134892,2016-12-13 11:56:11,2da1fba8-b471-423d-936b-606d0fb56c12,M098322,,,,accept,deny,0,5,2,0,0,0,21.71,5.09,0,accept
27134913,2016-12-13 11:56:21,70f91fee-a518-4c66-be26-c5cb0daebc57,M098322,,,,accept,deny,0,5,2,0,0,0,157.99,870.55,0,accept
27134934,2016-12-13 11:56:26,a37be212-7dd9-4bb9-a23a-4df075fbdab7,M098322,,,,accept,deny,0,5,2,0,0,0,162.2,870.55,0,accept
27135666,2016-12-13 12:01:35,a6f44c38-a45a-4ca0-9b25-1e81bb5073b1,M098322,,,,accept,deny,0,5,2,0,0,0,85.65,996.37,0,accept
