id,E_X_aic_ipctry_issue,E_X_trx_last,N_X_ip_ratio_den,N_X_n_deny_co,N_X_n_ina_issue_co,N_X_n_issue_co,N_X_n_trans_3d_co,N_X_ratio_acc_no_cb_co,N_X_ratio_deny_co,N_X_tot_amnt_3d_co,blacklist,whitelist,learning_label
12050478,0,1,0.888888889,17,1,4,8,0,1,20640000,0,0,1
12053562,1,0,-888888888,0,2,1,0,1,0,0,0,0,1
12055905,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
12066849,1,1,1,125,2,1,17,0,1,2700000,0,0,1
1207190,1,1,1,10,4,1,1,0.2,0.5,899000,0,0,1
1208022,1,0,0.5,0,1,1,0,1,0,0,0,0,1
12097035,1,1,-888888888,6,0,1,1,0,1,1189500,0,0,1
12120891,0,1,-888888888,17,0,8,0,0,1,0,0,0,1
12170541,1,1,0.16,29,3,1,24,0,1,10500000,0,0,1
12223704,0,1,0,42,0,3,1,0,1,100000,0,0,1
1224994,1,1,1,15,1,6,17,0.117647059,0.882352941,10102513,0,0,1
12262113,0,3,0.571428571,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
12269307,0,1,1,12,0,1,2,0,0.857142857,6605000,0,0,1
12285858,1,1,0.423076923,108,14,1,2,0,1,1000000,0,0,1
12309360,0,0,0.5,0,1,2,0,1,0,0,0,0,1
1235406,1,1,1,15,1,7,2,0,0.9375,527701,0,0,1
12364806,1,1,-888888888,1,0,1,0,0,1,0,0,0,1
1236636,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1237964,0,0,0.071428571,2,0,1,13,0.903225806,0.064516129,8082100,0,0,1
12458865,1,1,0.833333333,40,2,1,1,0.024390244,0.975609756,218450,0,0,1
1250430,-999999999,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
12506115,1,1,0.394736842,53,2,1,7,0,1,3500000,0,0,1
12591093,0,1,-888888888,2,2,1,0,0.625,0.25,0,0,0,1
12595329,1,1,0,77,3,1,48,0.025316456,0.974683544,21457513,0,0,1
12622506,1,1,0.272727273,12,2,1,11,0.076923077,0.923076923,78934896,0,0,1
12653841,1,1,0.22556391,4,3,1,5,0.166666667,0.666666667,8373750,0,0,1
12667338,1,3,0.43902439,-888888888,1,1,0,-888888888,-888888888,0,0,0,1
12701565,1,3,0.833333333,-888888888,1,1,0,-888888888,-888888888,0,0,0,1
12703725,1,1,-888888888,1,1,1,1,0,1,1564006,0,0,1
12743385,1,1,0.379310345,40,5,1,1,0,1,50000,0,0,1
12749817,1,1,0.608695652,29,1,1,26,0,1,13000000,0,0,1
12754296,1,1,0.346153846,48,7,1,12,0.04,0.96,6000000,0,0,1
12754419,1,0,0.270588235,0,2,1,0,1,0,0,0,0,1
1276886,0,1,1,100,0,9,21,0,1,34227000,0,0,1
12801759,1,1,1,7,1,1,7,0,1,23711416,0,0,1
1281539,1,1,-888888888,29,6,1,0,0,1,0,0,0,1
12832602,1,0,-888888888,0,3,1,0,1,0,0,0,0,1
12839874,1,0,0.409090909,5,3,1,0,0.666666667,0.333333333,0,0,0,1
1284412,1,0,-888888888,0,6,1,0,0.909090909,0,0,0,0,1
1285543,1,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
12871458,0,1,0.193333333,9,2,5,5,0,1,470500,0,0,1
12903909,0,1,0.1875,3,0,1,3,0,1,23392800,0,0,1
12933711,0,1,1,5,1,2,6,0.166666667,0.833333333,449523,0,0,1
12964701,1,1,1,77,15,1,4,0.06097561,0.93902439,1100000,0,0,1
1298459,0,3,0.056034483,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1298505,0,1,0.05982906,1,0,1,1,0,1,3380773,0,0,1
12993879,1,1,0.111111111,5,5,1,1,0.285714286,0.714285714,231000,0,0,1
13011576,0,1,0.27,115,14,3,4,0.331606218,0.595854922,847650,0,0,1
13025862,0,1,1,1,0,1,1,0,1,975000,0,0,1
13039911,0,1,-888888888,3,0,1,3,0,1,18977800,0,0,1
13065696,0,1,0.266666667,3,2,1,3,0.823529412,0.176470588,824892,0,0,1
13096917,0,1,0.115384615,3,1,2,0,0,1,0,0,0,1
13119273,0,1,0.111111111,1,0,1,1,0,1,1518965,0,0,1
13121811,0,1,1,11,0,1,4,0,1,1125000,0,0,1
13150461,1,0,-888888888,4,1,3,0,0.789473684,0.210526316,0,0,0,1
13186080,1,1,0.431372549,16,2,1,12,0.466666667,0.533333333,40113206,0,0,1
13213332,0,1,1,8,0,4,1,0,1,9785798,0,0,1
13230528,1,1,0.375,25,27,1,2,0.848837209,0.145348837,339822,0,0,1
1323727,0,1,1,4,0,3,2,0,1,180000,0,0,1
1324797,1,1,0.904761905,1,1,1,0,0,1,0,0,0,1
13316307,1,1,0.6,44,7,1,2,0.557692308,0.423076923,191600,0,0,1
13317744,0,1,1,1,0,1,1,0,1,239000,0,0,1
13362480,1,1,-888888888,9,2,1,0,0,1,0,0,0,1
13393683,0,1,0.351351351,1,0,1,0,0,1,0,0,0,1
13401246,1,3,-888888888,-888888888,1,1,0,-888888888,-888888888,0,0,0,1
13433331,0,1,0.266666667,1,1,1,1,0,1,116725,0,0,1
13453542,1,1,0.666666667,90,3,1,18,0.010989011,0.989010989,936000,0,0,1
13461951,1,3,0.210526316,-888888888,1,1,0,-888888888,-888888888,0,0,0,1
13469991,1,1,0.197530864,16,8,6,0,0,1,0,0,0,1
1354871,1,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
135562,1,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1356203,0,1,1,72,10,10,3,0.027027027,0.972972973,314400,0,0,1
13580661,1,1,0.35483871,1,1,1,1,0,1,500000,0,0,1
13592040,0,1,0.179824561,100,1,2,11,0.090909091,0.909090909,4307820,0,0,1
13647108,0,1,1,1,0,2,1,0,1,2477000,0,0,1
13651008,1,1,1,5,0,2,5,0,1,13054500,0,0,1
137003,1,1,1,13,3,1,13,0,1,22669812,0,0,1
1370701,0,1,1,3,0,1,2,0,1,9848000,0,0,1
137269,0,1,1,8,0,2,8,0,1,7105674,0,0,1
1376269,0,1,-888888888,6,0,5,0,0,0.75,0,0,0,1
13832913,1,1,1,1,0,1,1,0,1,250000,0,0,1
1383817,0,1,1,11,0,3,4,0,1,16568000,0,0,1
1386135,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
13866321,0,0,-888888888,0,1,1,0,1,0,0,0,0,1
13883433,0,3,0.238636364,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1389753,1,1,-888888888,1,1,3,0,0.5,0.5,0,0,0,1
1390533,1,3,0,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
13923033,0,3,0.2,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
13951899,1,1,1,3,1,1,1,0.25,0.75,71558,0,0,1
1396135,1,1,1,29,12,1,12,0.086956522,0.630434783,14221488,0,0,1
13972794,0,3,0.357142857,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1398749,1,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
13993059,1,1,0.089285714,6,4,1,2,0.588235294,0.352941176,6877640,0,0,1
1399445,0,1,0.12,51,4,9,1,0.019230769,0.980769231,953095,0,0,1
14038776,0,1,0.894736842,57,0,11,1,0,1,199000,0,0,1
1405783,0,1,0.571428571,4,0,1,4,0,1,175000,0,0,1
1407165,1,1,0.2,5,4,1,4,0.444444444,0.555555556,460000,0,0,1
14086392,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1412255,1,1,1,20,0,10,0,0.047619048,0.952380952,0,0,0,1
1412447,0,1,0,3,1,2,1,0,1,1123000,0,0,1
14129634,0,1,1,10,0,4,5,0,1,3200000,0,0,1
1418425,1,1,0.5,64,5,16,3,0.102564103,0.820512821,752321,0,0,1
1419037,0,3,0,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1427365,1,2,0.625,9,2,2,10,0.3,0.45,104000,0,0,1
14308746,1,1,0.188172043,17,4,1,2,0,1,1186000,0,0,1
14309325,1,1,0.454545455,4,1,1,5,0,0.8,18081837,0,0,1
1432831,0,3,0.220338983,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
143293,0,1,0.666666667,2,0,2,2,0,1,2568664,0,0,1
1436,1,1,1,11,0,1,11,0,1,1152800,0,0,1
14409615,0,1,1,1,0,1,1,0,1,70035,0,0,1
1441655,0,1,1,2,0,1,2,0,1,2000000,0,0,1
1442175,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
14421981,1,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1446645,0,1,0.212121212,1,0,1,1,0,1,432000,0,0,1
14473632,1,1,0.285714286,100,45,1,0,0,1,0,0,0,1
1451037,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
14525892,0,1,-888888888,33,0,8,0,0,0.970588235,0,0,0,1
1454399,0,0,0.09375,0,1,2,0,1,0,0,0,0,1
14585940,1,1,0.384615385,5,5,1,2,0.864864865,0.135135135,1598400,0,0,1
1458615,1,1,1,7,0,1,8,0.125,0.875,20846000,0,0,1
1461561,0,1,1,9,0,1,10,0.1,0.9,26112500,0,0,1
14619441,0,0,0.05,2,8,2,7,0.974358974,0.012820513,8590196,0,0,1
14697621,1,1,0.076923077,11,3,1,3,0.631578947,0.289473684,15726000,0,0,1
14701635,0,1,1,3,1,1,1,0.4,0.6,2518950,0,0,1
14706915,0,0,0.073333333,1,9,2,9,0.987179487,0.006410256,29787609,0,0,1
14708733,0,3,1,-888888888,1,1,0,-888888888,-888888888,0,0,0,1
14731923,0,3,0.31147541,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
147348,1,1,0.071428571,5,3,1,3,0,1,3999867,0,0,1
14739648,0,1,0.226666667,9,0,2,4,0,1,1296800,0,0,1
1475579,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
14870535,1,1,0.476190476,105,1,1,1,0.009433962,0.990566038,300000,0,0,1
1489815,0,1,-888888888,8,0,3,2,0.111111111,0.888888889,10886800,0,0,1
1489867,0,1,1,11,0,5,5,0.083333333,0.916666667,16340200,0,0,1
14920566,0,1,0.428571429,3,0,1,3,0,1,450000,0,0,1
14939799,1,0,0.12962963,1,1,1,4,0.944444444,0.055555556,2129737,0,0,1
14941956,0,0,0.274509804,0,1,2,0,1,0,0,0,0,1
14953287,1,1,0.4,1,2,1,1,0,1,2177378,0,0,1
1496145,1,1,0.179245283,17,3,2,0,0.105263158,0.894736842,0,0,0,1
15005196,1,1,1,5,4,1,5,0,1,1536275,0,0,1
150053,1,1,0.666666667,4,0,1,4,0,1,5742764,0,0,1
1503235,1,0,0,0,0,1,2,0.3,0,1560400,0,0,1
1506373,0,0,0.136363636,0,1,2,0,1,0,0,0,0,1
1507123,0,3,0,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1508995,1,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
15092316,1,1,0.318181818,99,12,1,4,0.01,0.99,1550000,0,0,1
15130086,0,1,0.444444444,97,0,14,11,0.067307692,0.932692308,11764200,0,0,1
1513383,1,1,1,1,6,1,1,0.909090909,0.090909091,100000,0,0,1
1514155,0,1,1,2,0,1,1,0,1,100000,0,0,1
1515161,1,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
15196701,1,1,1,3,0,1,3,0,1,1524000,0,0,1
15215742,0,1,1,5,0,2,3,0,0.833333333,5915000,0,0,1
15260721,1,1,0.203125,146,18,1,0,0.0875,0.9125,0,0,0,1
15301755,1,1,-888888888,7,2,1,0,0.533333333,0.466666667,0,0,0,1
1538909,1,3,0.166666667,-888888888,1,1,0,-888888888,-888888888,0,0,0,1
1540139,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1540365,0,3,1,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
15428172,0,3,0.156626506,-888888888,-999999999,-999999999,0,-888888888,-888888888,0,0,0,1
1543179,0,1,0.5,4,0,3,1,0,0.8,848000,0,0,1
15469848,1,1,0.647058824,8,2,1,7,0.428571429,0.571428571,437465,0,0,1
1549499,1,0,-888888888,0,0,1,0,1,0,0,0,0,1
15512529,1,1,0.487804878,36,7,1,9,0.1,0.9,750000,0,0,1
15545274,0,1,1,4,6,1,2,0.733333333,0.266666667,1344000,0,0,1
1555469,0,1,0.1875,16,3,6,11,0,1,3540000,0,0,1
15564540,1,1,0.173333333,21,2,1,5,0.222222222,0.777777778,1417500,0,0,1
15564639,1,1,0.5,3,1,1,3,0.896551724,0.103448276,4727418,0,0,1
15574,0,1,1,38,0,1,7,0,1,737704,0,0,1
1557481,0,1,0,6,0,1,0,0,1,0,0,0,1
1558679,1,0,-888888888,5,2,4,0,0.333333333,0.555555556,0,0,0,1
1559073,0,3,0,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1560793,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1562117,1,1,0.8,4,3,1,5,0.2,0.8,2517363,0,0,1
15648144,1,1,0.25,2,1,1,2,0,1,146160,0,0,1
1565643,0,3,0.142857143,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1565731,1,1,1,7,2,4,1,0.125,0.875,100000,0,0,1
15666486,0,1,0.137931034,100,0,1,2,0,1,1017630,0,0,1
1567519,0,3,0,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1567623,0,1,-888888888,2,0,1,0,0,1,0,0,0,1
1567747,0,1,0,9,0,6,3,0,1,4091343,0,0,1
15709302,0,1,0.290909091,6,3,2,0,0.454545455,0.545454545,0,0,0,1
15726966,1,1,0.619047619,19,1,1,2,0,1,700000,0,0,1
1572839,1,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
15738099,1,0,-888888888,6,1,1,0,0.727272727,0.272727273,0,0,0,1
15749955,1,1,0.36,35,7,1,1,0.690265487,0.309734513,912170,0,0,1
15750189,0,3,0,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
15781845,1,1,0,6,9,1,2,0.833333333,0.142857143,517261,0,0,1
15782550,1,1,0.59375,41,5,1,0,0.145833333,0.854166667,0,0,0,1
1583683,0,1,0.5,5,0,3,5,0,1,116100,0,0,1
1585251,0,1,1,12,0,3,6,0,1,1808450,0,0,1
15878760,1,1,0.279069767,15,2,1,0,0,1,0,0,0,1
15880893,0,1,0.21,4,-999999999,-999999999,0,0.2,0.8,0,0,0,1
1589021,1,0,0,4,3,2,0,0.333333333,0.666666667,0,0,0,1
15897144,1,1,0.176666667,107,24,1,5,0.518828452,0.447698745,8648540,0,0,1
15975519,1,1,0.8,2,0,1,2,0,1,600000,0,0,1
1598247,1,1,0.857142857,3,5,1,2,0.25,0.75,2947560,0,0,1
1599835,0,1,1,55,8,6,1,0,1,1299000,0,0,1
16036782,0,1,0,8,1,1,4,0.428571429,0.571428571,594000,0,0,1
16038996,1,2,0.26,30,11,8,0,0.215686275,0.588235294,0,0,0,1
16043550,0,0,-888888888,6,6,1,1,0.666666667,0.285714286,343984,0,0,1
16044900,0,1,0.133333333,65,21,2,12,0.139534884,0.755813953,35534840,0,0,1
1604691,0,1,0.108695652,2,0,2,1,0,1,2791600,0,0,1
16096872,0,0,0.176666667,21,10,1,14,0.78,0.21,47599394,0,0,1
16126287,1,0,0.290909091,1,2,1,12,0.939393939,0.03030303,2510000,0,0,1
161622,1,1,-888888888,4,1,1,3,0,1,3027837,0,0,1
16237194,0,1,0.380952381,1,1,1,1,0.8,0.2,545000,0,0,1
1627999,0,1,1,15,0,1,3,0,1,754800,0,0,1
16349259,0,3,0.35483871,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
16362996,0,0,0.026666667,10,2,1,26,0.934210526,0.065789474,47977500,0,0,1
1637873,1,1,1,13,8,3,2,0,1,1658000,0,0,1
1640161,0,1,0.5,2,0,1,0,0,1,0,0,0,1
16460460,1,3,0.323943662,-888888888,1,1,0,-888888888,-888888888,0,0,0,1
1650589,0,1,0.13253012,44,0,4,1,0,1,1299000,0,0,1
1652999,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
1653925,1,1,0.857142857,4,2,1,5,0.2,0.8,4366280,0,0,1
1656423,0,1,-888888888,21,2,6,0,0.16,0.84,0,0,0,1
1660407,1,1,0.8,16,6,5,10,0,1,5880000,0,0,1
16617447,1,1,-888888888,11,7,2,0,0.3125,0.6875,0,0,0,1
1663327,1,1,1,4,0,1,0,0,1,0,0,0,1
166435,0,1,1,14,0,1,14,0,1,10596798,0,0,1
16648074,0,0,-888888888,9,3,2,1,0.357142857,0.642857143,50000,0,0,1
16648983,0,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
16663278,1,3,-888888888,-888888888,-999999999,-999999999,0,-888888888,-888888888,0,0,0,1
1666449,1,3,-888888888,-888888888,0,1,0,-888888888,-888888888,0,0,0,1
16700205,0,1,0,3,0,2,0,0,1,0,0,0,1
